id,nombre,telefono,fax,sitio_web,direccion,universidad,ciudad
1,Miraflores,,,,,1,1
2,Teja,,,,,1,1
3,Puerto Montt,,,,,1,1
4,CASA CENTRAL,,,www.daad.cl,,2,2
5,CASA CENTRAL,,,http://www.uni-freiburg.de/,,3,2
6,CASA CENTRAL,,,http://www.tu-dortmund.de/uni/Uni/index.html,,4,2
7,CASA CENTRAL,,,http://www.tu-berlin.de/,,5,2
8,CASA CENTRAL,,,www.euv-frankfurt-o.de,,6,2
9,CASA CENTRAL,,,https://www.fh-muenster.de,,7,2
10,CASA CENTRAL,,,http://www.th-deg.de/,,8,2
11,CASA CENTRAL,,,http://www.uni-erlangen.org/,,9,2
12,CASA CENTRAL,,,www.fh-worms.de,,10,2
13,CASA CENTRAL,,,www.fh-worms.de,,11,2
14,CASA CENTRAL,,,www.uni-goettingen.de,,12,2
15,CASA CENTRAL,,,http://www.hs-rottenburg.net/,,13,2
16,CASA CENTRAL,,,www.hs-furtwangen.de,,14,2
17,CASA CENTRAL,,,http://www.hswt.de/,,15,2
18,CASA CENTRAL,,,http://www.hrk.de,,16,2
19,CASA CENTRAL,,,http://www.uni-muenchen.de,,17,2
20,CASA CENTRAL,,,http://www.uni-giessen.de/cms/,,18,2
21,CASA CENTRAL,,,www.rwth-aachen.de/go/id/bdz,,19,2
22,CASA CENTRAL,,,http://www.tiho-hannover.de/universitaet/,,20,2
23,CASA CENTRAL,,,http://www.kit.edu/index.php,,21,2
24,CASA CENTRAL,,,www.tum.de,,22,2
25,CASA CENTRAL,,,http://www.uni-regensburg.de/,,23,2
26,CASA CENTRAL,,,www.uni-rostock.de,,24,2
27,CASA CENTRAL,,,www.uni-wh.de,,25,2
28,CASA CENTRAL,,,http://www.uni-heidelberg.de/,,26,2
29,CASA CENTRAL,,,http://www.uni-muenster.de/de/,,27,2
30,CASA CENTRAL,,,www.uni-weimar.de/ ,,28,2
31,CASA CENTRAL,,,http://www.fh-jena.de/fhj/fhjena/de/Seiten/default.aspx,,29,2
32,CASA CENTRAL,,,www.uni-kiel.de,,30,2
33,CASA CENTRAL,,,http://www.alanus.edu/eng/alanus-university.html,,31,2
34,CASA CENTRAL,,,https://www.uni-trier.de/index.php?id=48,,32,2
35,CASA CENTRAL,,,-,,33,3
36,CASA CENTRAL,,,-,,34,3
37,CASA CENTRAL,,,http://www.conicet.gov.ar,,35,3
38,CASA CENTRAL,,,http://www.flacam-red.com.ar/,,36,3
