id,facultad,nombre,director,email
1,,Administración Empresas de Turismo,,
2,,Agronomía,,
3,,Antropología,,
4,,Arquitectura,,
5,,Auditoría,,
6,,Bachillerato en Cs. de la Ingeniería,,
7,,Biología Marina,,
8,,Bioquímica,,
9,,Derecho,,
10,,Enfermería,,
11,,Geografía,,
12,,Geología,,
13,,Ingeniería en Conservación de Recursos Naturales – Ingeniería Forestal,,
14,,Ingeniería Comercial,,
15,,Ingeniería Civil Acústica,,
16,,Ingeniería Civil Electrónica,,
17,,Ingeniería Civil en Informática,,
18,,Ingeniería Civil en Obras Civiles,,
19,,Ingeniería Civil Industrial,,
20,,Ingeniería Civil Mecánica,,
21,,Ingeniería en Alimentos,,
22,,Ingeniería en Construcción,,
23,,Ingeniería Naval,,
24,,Interpretación Musical,,
25,,Kinesiología,,
26,,Licenciatura en Artes Visuales,,
27,,Licenciatura en Ciencias,,
28,,Medicina,,
29,,Medicina Veterinaria,,
30,,Obstetricia y Puericultura,,
31,,Odontología,,
32,,Pedagogía en Comunicación en Lengua Inglesa,,
33,,"Pedagogía en Educación Física, Deportes y Recreación",,
34,,Pedagogía en Historia y Ciencias Sociales,,
35,,Pedagogía en Lenguaje y Comunicación,,
36,,Periodismo,,
37,,Psicología,,
38,,Química y Farmacia,,
39,,Tecnología Médica,,
40,,Terapia Ocupacional,,
41,,Enfermería,,
42,,Fonoaudiología,,
43,,Ingeniería Civil Industrial,,
44,,Ingeniería Comercial,,
45,,Ingeniería en Información y Control de Gestión,,
46,,Psicología,,
47,,Pedagogía en Educación Básica,,
48,,Pedagogía en Educación Diferencial,,
49,,Pedagogía en Matemáticas,,
50,,Tecnología Médica,,
51,,Técnico Universitario en Mantenimiento Industrial,,
52,,Bachillerato en Ciencias de la Ingeniería,,
53,,Bachillerato en Ciencias y Recursos Naturales,,
54,,Pedagogía en Educación Básica,,
55,,Técnico Universitario en Salmonicultura,,
56,,Técnico Univ. en Administración Contable y Financiera,,
57,,Técnico Univ. en Asistente Ejecutivo y de Gestión,,
58,,Técnico Univ. en Construcción y Obras Civiles,,
59,,Técnico Universitario en Turismo de Naturaleza,,
60,,Técnico Universitario en Producción Agropecuaria,,
