id,nombre,vigencia,firmado,vencimiento,areas_cubre,observaciones,universidad
1,Programa de Becas conjunto Universidad Austral de Chile - DAAD ,3 años renovables automáticamente ,2002-03-13,,,Otorgan becas de un año para Alemania,2
2,Acuerdo de programa de intercambio de científicos entre el Servicio Alemán de Intercambio Académico (DAAD) y las Universidades Chilenas Integrantes del Consejo de Rectores (CRUCh) ,3 años renovables automáticamente por 1 año,2003-11-12,,,Financia gastos de traslado y estadía para profesores de las Universidades CRUCH.,2
3,Convenio de Colaboración entre la Facultad de Ciencias Forestales de la Universidad Austral de Chile y la Facultad de Ciencias Forestales de la Albert - Ludwings - University Freiburg,Indefinido,2000-12-01,,,,3
4,"Convenio Específico entre la Facultad de Ciencias Forestales, Universidad Austral de Chile, y la Facultad de Ciencias Forestales de la Albert-Ludwigs-University Freiburg, Alemania",Indefinido,2001-01-01,,,,3
5,Memorandum de Acuerdo sobre Intercambio académico y Cooperación entre la Universidad de Dortmund y la Universidad Austral de Chile,"5 años, renovable (su duración es extendida mediante acuerdos referentes al programa SPRING)",2003-03-01,,No específica ,,4
6,"Specific Agreement for Student Mobility between Technische Universität Dortmund, Germany - Faculty of Spatial Planning and Universidad Austral de Chile, Chile.","3 años, renovable automáticamente si ninguna parte expresa lo contrario",2013-06-12,,No específica,Acuerdo específico para la movilidad estudiantil,4
7,Acuerdo específico en el marco del Memorandum de Acuerdo sobre el programa conjunto de M.Sc. Spring - America,"5 años, renovable a través de acuerdo mutuo entre ambas partes (SPRING)",2005-07-19,,FACEA,,4
8,"Acuerdo general entre el instituto de acústica, Universidad Austral de Chile y Institut Für Technische Akustik, Berlin University of Tecnology, Germany","5 años, renovable acuerdo expreso de ambas partes",2004-11-20,,Ingeniería Acústica,,4
9,Convenio entre la Universidad Europea de Viadrina Frankfurt (ODER) Alemania y UACh ,Indefinido,2003-02-26,,,,5
10,Convenio General de Cooperación entre la Universidad Austral de Chile y la Universidad de Ciencias Aplicadas de Kempten ,Indefinido,2004-06-09,,,,6
11,"Convenio de Cooperación entre la Universidad de Ciencias Aplicadas, Münster y la Universidad Austral de Chile",Indefinido,2000-10-26,,,"Para estadía, hay que organizar con mínimo 3 meses de anticipación.",7
12,CALA: Convenio Específico de Doble Titulación entre la Universidad Austral de Chile y la Universidad de Ciencias Aplicadas Münster,Indefinido,2000-10-26,,,,7
13,Acuerdo Complementario entre la Universidad de Ciencias Aplicadas de Münster y la Universidad Austral de Chile,sin fecha (remite a AL-010301-03,,,Facultad de Ciencias Económicas y Administrativas,,7
14,"Memorandum de Entendimiento entre Universidad Austral de Chile y Technische Hochschule Deggendorf, Germany","5 años, renovable por consentimiento mutuo",2013-09-12,,No específica ,,8
15,Convenio Marco de Cooperación en Investigación y Docencia entre Universidad Friedrich-Alexander de Erlangen-Nürnberg (FAU) y Universidad Austral de Chile,3 años renovables por acuerdo mutuo,2011-06-01,,,,9
16,Convenio de Cooperación Académica entre la UACh y Fachhochschule Rheinland-pfalz,Indefinido,1992-06-09,,,Intercambio exige condiciones mínimas de idioma.,10
17,Acuerdo Específico de Doble Titulación para Programas de Pregrado,5 años renovables automáticamente,2006-05-17,,,,11
18,Memorandum de Entendimiento,"3 años, renovables automáticamente",2015-07-15,,Ciencias Forestales y Recursos Naturales,AL-051007-15: Protocolo Draft,12
19,Convenio Marco entre Universidad de Rottenburg - University of Applied Forest Sciences (HFR) y Universidad Austral de Chile (UACh),5 años renovables automáticamente,2011-09-27,,,Convenio que detalla actividades a corto (2012-2014) y mediano plazo,13
20,"Acuerdo de Cooperación entre la UACh y la Hochschule Furtwangen University, Alemania",5 años renovables automáticamente,2009-05-02,,,,14
21,Memorandum de Entendimiento entre Universidad Austral de Chile y University of Applied Sciences Weihenstephan-Triesdorf,"5 años, renovable por consentimiento mutuo",2013-11-11,,No específica,,15
22,Convenio Marco Chileno Alemán sobre Cooperación Académica,igual a la del Convenio Marco Chileno Alemán sobre Cooperación Académicael 16 de 1999 ,2000-10-13,,,Convenio que regula el reconocimiento de grados entre Alemania y Chile y que pone las condiciones para complementar estudios superiores entre ambos países.,16
23,"Convenio para Trabajo Académico, entre Universidad de München y la UACh",Indefinido,1982-01-01,,,,17
24,Acuerdo de Intercambio de Académicos y Estudiantes entre la Facultad de Medicina de la Universidad Ludwig - Maximilians y la Facultad de Medicina y Facultad de Ciencias de la UACH,5 años renovables por acuerdo mutuo,2008-07-09,,Medicina y Ciencias,,17
25,"Acuerdo de Cooperación entre Justus Liebig Giessen (JLU), Alemania y Universidad Austral de Chile (UACh), Chile","3 años, renovación automática por periodos de 1 año",2013-11-25,,No específica,,18
26,Convenio de Cooperación entre la Universidad de Ciencias Aplicadas de Aachen y Universidad Austral de Chile,"5 años, prrorogable por 5 años más",1998-08-13,,No específica,,19
27,Convenio Específico entre la RWTH Aachen University y la Universidad Austral de Chile,para 2007/2008,2007-06-04,,Ingeniería ,,19
28,Convenio entre Escuela Superior de Veterinaria de Hannover y la Facultad de Medicina Veterinaria de la UACh,Indefinido,1973-08-20,,,,20
29,Acuerdo de Cooperación e Intercambio Académico entre la Universidad de Karlsruhe (TH) y la Universidad Austral de Chile,5 años renovables por acuerdo mutuo,2009-06-18,,,,21
30,Anexo I al Acuerdo de Cooperación e intercambio Académico entre la Universidad de Karlsruhe (TH) y la Universidad Austral de Chile- Intercambio Estudiantil,5 años renovables por acuerdo mutuo,2009-06-14,,,,21
31,Acuerdo Internacional de Cooperación entre la Universidad Austral de Chile y la Universidad Técnica de Munich,5 años renovables por acuerdo mutuo,2009-01-19,,,"En intercambios, la Universidad anfitriona no cobrará aranceles",22
32,Convenio General entre la Universidad Austral de Chile y la Universidad de Regensburg/Alemania.,5 años renovables automáticamente,2008-07-02,,,,23
33,"Acuerdo de Cooperación entre la Universidad de Rostock, y la Facultad de Medicina de la Universidad Austral de Chile",3 años renovables automáticamente ,2006-05-01,,,Se da la opción de trabajar en las dependencias en base a proyectos a médicos titulados o profesores de la facultad.,24
34,Memorandum of Agreement for Academic Exchange,5 años renovables por acuerdo mutuo,2006-11-20,,,,24
35,Carta de Acuerdo entre las Facultades de Medicina de las Universidades Austral de Chile y de Witten/Herdecke,3 años renovables automáticamente ,2004-10-01,,,La Facultad que envía al docente costeará sus pasajes. La Facultad que recibe al docente costeará mantención.,25
36,Carta de acuerdo entre las Facultades de Medicina de la Universidad Austral de Chile y de Heidelberg,3 años renovables automáticamente,2001-11-12,,,,26
37,Memorandum of Understanding,5 años renovables por acuerdo escrito,2015-03-18,,No específica,,26
